NUM_ITERATIONS,MEM_LIMIT,HASH_LENGTH,NUM_THREADS,SALT,HASH,TIME
20,20480,32,1,67e84fb9b0d14199c46fb938fafc4ad8,234188ca43ed2c0e0da6c2b42daadec20c60908fcafbec35a9680ee98e2d0732,198
21,20480,32,1,8c291466433179c69ce52f01f9083be6,7699838afd1f246aa64b08f697f0f8eb68703cc52e88ca7d2fd337b301ce9b5a,208
22,20480,32,1,84bc9a5d25c5cc7179dc4b0ece5a90e7,727c1b96a5d2e9c4a793d0309fe1132ff3cb9a0478fd4dbf278ac20bc44d722d,217
23,20480,32,1,1f8fd92dd31f588861b6356d9290703f,04f424fa043131f1959eb4adbc198590122c939edd196d6e1ed2752c0af8d903,229
24,20480,32,1,5477872d6ae0dc88866b5a32702396dc,51d8148b866533a2b62940a05e89b26410a73031194916998ba35b589faf7f5e,236
25,20480,32,1,815a1683d009ade6ed7f4d58c5a34a3e,5dd9b4b7328bc4cf89873a337826daf2d5178e5de927da84760733d1ea030bbe,246
26,20480,32,1,54a35513487985fa451eda2920f905e2,21053d74a42ed89b38958e2c9352e7b594619338ba264940d9921dfce5466e7e,257
27,20480,32,1,59b08f0ecea9ebba43d1ea95f2bd5144,ccd561cb33a16c02c20ef4e75e7466bb3d0582406496dc143e321df1f7fb9301,265
28,20480,32,1,0d521cd03632e5c9a110309836458125,afe311d690cf360809af89ac61cbabe5348a46197efca07293a79f6d0ffa3479,277
29,20480,32,1,5e636ffd1b1fce49848641c37be94ae7,45f9a09e5bfe11e58fc8112b6ca4e7a3293c7ba45d01ffbcb756599e7134c1c3,286
30,20480,32,1,3dc29fdc1bbce12f285f3b2b72518f8c,482f009fdc6d39271058c0bf824c8bed8075fdfc24ba17e248c1c89e21015d8f,296
4,30720,32,1,59b94797ee9491cec19c93f6ae0c29b8,42767020734c03b267e6ec83afe76181618d7dbd79eb49e8d6b3afae189a4264,66
5,30720,32,1,6be9876f9b715154150eb99b1f15c02b,e1213fee7edb8b9571218af35bda4104357054c32ee91391ec9b8fc7f0d84526,86
6,30720,32,1,9f73d5e2af85240ae4342f297750d27f,978afd97dd62a03160009df1fb3c921104eb5d5ef032576d9638785085cbca4f,99
7,30720,32,1,96e9caa0b28fd306bb73c4b65b8fbf19,7807ca5926b243b16a32c0776b82df3b7c9156935bd8f2069c7c15f8897fb368,116
8,30720,32,1,b651a8fa3c2c21897a6c7bc9a2ec2ef1,5084890deed7a15bc8bdb3db13d164b2ae26e8fd16a049e0f5c481510b0e1940,133
9,30720,32,1,fe5f723845532581e3ef41449a205663,9509d66cd2bf265529e95093c5e365a15188664dc5ea4272cee53891241eb131,153
10,30720,32,1,6412e6f30b4123d4a5da04310af7435d,e9fccd7ceb895b03610439b45be88dfd7daa19c497389d54f1f6b34fad255d48,162
11,30720,32,1,5d64d304bb561d306a633dce9348e20d,32feaad13565653b2f347e3e77576372d921f1f7df2dd2de699af161956a8324,177
