Number of Iterations,Memory Limit,Time,Device
22,51200KiB,10048.0,android
23,51200KiB,10572.0,android
24,51200KiB,11016.666666666666,android
25,51200KiB,11473.333333333334,android
26,51200KiB,11665.666666666666,android
27,51200KiB,12753.0,android
28,51200KiB,13184.0,android
29,51200KiB,13318.0,android
30,51200KiB,13799.666666666666,android
31,51200KiB,14188.666666666666,android
